,ปี,จังหวัด,อำเภอ,อปท,รถเปิดข้างเทท้าย/คัน,รถแบบอัดท้าย (คัน),รถคอนเทนเนอร์ (คัน),รถบรรทุกเทท้าย (คัน),รถปิคอัพ (คัน),รถชนิดอื่นๆ (คัน)
0,2563,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,3,72,2,10,0,3
1,2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0,7,0,0,0,0
2,2563,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0,16,2,0,0,0
3,2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,0,7,0,0,0,0
4,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0,8,0,0,0,0
5,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,0,12,2,1,0,0
6,2563,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0,0,0,0,0,0
7,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0,6,0,0,0,0
8,2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0,13,0,4,0,0
9,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0,0,0,0,0,0
10,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0,0,0,0,0,0
11,2563,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0,2,0,0,0,0
12,2563,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0,3,0,0,0,0
13,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1,3,0,0,0,0
14,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,1,7,1,0,0,2
15,2563,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0,0,0,0,0,0
16,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0,5,0,2,0,0
17,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0,0,0,0,0,0
18,2563,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0,0,0,0,0,0
19,2563,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0,0,0,0,0,0
20,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,8,9,4,5,0,0
21,2563,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0,0,0,0,0,2
22,2563,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0,0,0,0,0,0
