ปี,เดือน,จังหวัด,อำเภอ,อปท.,ขยะมูลฝอยชุมชน(ตัน)
2563,มกราคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,189.12
2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,123.84
2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,154.2
2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,232.13
2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,642.67
2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,160.19
2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,600.01
2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,217.0
2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1489.64
2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,436.22
2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1550.61
2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,307.99
2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขนุน,353.63
2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,1000.0
2563,มกราคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,263.32
2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,1380.1
2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,1852.54
2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1528.77
2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1618.88
2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,1475.23
2563,มกราคม,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,169.8
2563,มกราคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,4965.94
2563,มกราคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,572.82
2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,733.96
2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,184.72
2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,650.0
2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,350.89
2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,595.14
2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,2098.57
2563,มกราคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,318.07
2563,มกราคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,189.55
2563,มกราคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,10793.7
2563,มกราคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,427.44
2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,48.0
2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,351.0
2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,265.0
2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,448.52
2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,86.52
2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,263.75
2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,13249.0
2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,866.5
2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,880.84
2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,1150.63
2563,มกราคม,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,478.73
2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลตำบลไทรน้อย,702.44
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,163.84
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,109.38
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,118.82
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,232.13
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,589.09
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,132.39
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,587.29
2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,220.0
2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1489.64
2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,364.81
2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1412.54
2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,576.78
2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.บางขนุน,358.57
2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.บางขุนกอง,1000.0
2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,207.47
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,1380.1
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,1681.95
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1325.92
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1009.25
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,1342.27
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,144.05
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,อบต.ละหาร,4647.96
2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,อบต.ลำโพ,552.24
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,665.66
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,195.5
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,600.0
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,350.89
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,704.43
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1841.78
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,อบต.บางใหญ่,318.07
2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,171.29
2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,10795.06
2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,401.22
2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,48.0
2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,320.0
2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,216.4
2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,449.39
2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,141.63
