,ปี,จังหวัด,อำเภอ,อปท,สถานที่กำจัดขยะ(แห่ง)
0,2563,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,2.0
1,2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,1.0
2,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,1.0
3,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1.0
4,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1.0
5,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1.0
6,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1.0
7,2563,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,1.0
8,2563,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,1.0
9,2563,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,1.0
10,2563,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,1.0
11,2563,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,1.0
12,2563,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,1.0
13,2563,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,1.0
14,2563,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,1.0
15,2564,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,1.0
16,2564,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,2.0
17,2564,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1.0
18,2564,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,1.0
19,2564,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1.0
20,2564,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,1.0
21,2564,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,1.0
22,2564,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,1.0
23,2564,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,1.0
24,2564,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,1.0
25,2564,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,1.0
26,2564,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,1.0
27,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,0.0
28,2566,นนทบุรี,บางบัวทอง,เทศบาลนครบางบัวทอง,0.0
29,2566,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,0.0
30,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0.0
31,2566,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0
32,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,0.0
33,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0
34,2566,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0
35,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0
36,2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0.0
37,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0.0
38,2566,นนทบุรี,บางใหญ่,เทศบาลเมืองเสาธงหิน,0.0
39,2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.0
40,2566,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0
41,2566,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0.0
42,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0
43,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,0.0
44,2566,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.0
45,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0.0
46,2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0
47,2566,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0.0
48,2566,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0.0
49,2566,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0
50,2566,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0
51,2566,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0
52,2566,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0.0
53,2566,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0.0
54,2566,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.0
