,ปี,จังหวัด,อำเภอ,อปท,ค่าจัดซื้อครุภัณฑ์,ค่าน้ำมัน,ค่าบำรุงรักษาระบบ,ค่าจ้างคนงาน,ค่าเก็บขน,ค่ากำจัด
0,2563,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,480000.0,13224077.55,14992777.5,53846100.0,0.0,0.0
1,2563,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,3817505.2,3616434.5,11121033.0,0.0,0.0
2,2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,0.0,1630042.41,1362725.26,2949720.0,0.0,0.0
3,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,2400000.0,2416373.2,2416380.65,4032000.0,0.0,0.0
4,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,500000.0,2370540.7,1000000.0,6234000.0,0.0,0.0
5,2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0,180000.0,600000.0,2880000.0,6000000.0,2500000.0
6,2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,19367.0,2670800.0,1524383.7,5659591.99,0.0,0.0
7,2563,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,121000.0,138430.1,1512740.0,0.0,259366.5
8,2563,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,2774500.0,440856.07,300416.4,1475002.7,0.0,0.0
9,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0,545352.7,547485.53,2446080.0,0.0,0.0
10,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,0.0,2543844.6,2101549.9,7609281.0,0.0,0.0
11,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,2100000.0,720000.0,600000.0,2195800.0,0.0,0.0
12,2563,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,420000.0,179365.0,2762457.0,10502880.0,0.0,0.0
13,2563,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0,0.0,28918.0,2332620.0,0.0,0.0
14,2563,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,152758.0,105080.0,659160.0,0.0,0.0
15,2563,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,2400000.0,800000.0,450000.0,2460000.0,0.0,0.0
16,2563,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,2188000.0,417895.5,521154.2,227619.0,0.0,0.0
17,2563,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.0,290000.0,40000.0,912000.0,0.0,0.0
18,2563,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,2400000.0,900000.0,850000.0,3600000.0,0.0,0.0
19,2563,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,98763.0,830751.01,1350224.34,0.0,0.0,0.0
20,2563,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,200000.0,300000.0,50000.0,1115000.0,0.0,0.0
21,2563,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,1974500.0,192818.26,199696.31,943610.0,0.0,0.0
22,2563,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,300000.0,0.0,0.0,0.0,0.0
23,2563,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.0,551602.0,392174.3,78975.0,0.0,0.0
24,2563,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,700000.0,800000.0,1460280.0,0.0,0.0
25,2563,นนทบุรี,บางบัวทอง,อบต.ละหาร,4883969.0,1264353.4,1157945.8,4032898.0,0.0,0.0
26,2563,นนทบุรี,บางบัวทอง,อบต.ลำโพ,3488000.0,672000.0,237390.0,159572.0,0.0,0.0
27,2563,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,150000.0,302687.5,408404.6,1480200.0,0.0,0.0
28,2564,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,0.0,14615631.57,8286476.98,50756622.0,139646080.0,19257714.0
29,2564,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,4945863.69,3332600.39,9117426.0,0.0,2621692.0
30,2564,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,1809012.59,1335584.7,4879223.0,0.0,0.0
31,2564,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4800000.0,1159768.3,1089017.0,2747760.0,3350000.0,0.0
32,2564,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,3825000.0,2737200.0,2356736.9,8468681.48,0.0,0.0
33,2564,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,2000000.0,2000000.0,900000.0,900000.0,0.0,1800000.0
