,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะรีไซเคิลลงถัง(ตัน)
0,2563,มกราคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,7.56
1,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.74
2,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,16.89
3,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,350.0
4,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,1.98
5,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,542.71
6,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,2.6
7,2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขนุน,106.09
8,2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,100.0
9,2563,มกราคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,5.77
10,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,308.87
11,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,420.28
12,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,450.99
13,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,50.0
14,2563,มกราคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,3.0
15,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.0
16,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,2.85
17,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,320.41
18,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,115.14
19,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,42.32
20,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1.45
21,2563,มกราคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,602.0
