ปี,จังหวัด,อำเภอ,อปท,คร.ที่กำจัดขยะ
2563,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,189356
2563,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,22106
2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,7332
2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,25269
2563,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,23655
2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,26276
2563,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,720
2563,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,48000
2563,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,616
2563,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,5963
2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1733
2563,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,8418
2563,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,26444
2563,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,657
2563,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,1872
2563,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,2028
2563,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,4630
2563,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,1498
2563,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,1202
2563,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,7024
2563,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,12594
2563,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,869
2563,นนทบุรี,บางใหญ่,อบต.บางใหญ่,2934
2563,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2263
2563,นนทบุรี,บางบัวทอง,อบต.ละหาร,2019
2563,นนทบุรี,บางบัวทอง,อบต.ลำโพ,1897
2563,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,2666
2564,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,67936
2564,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,10772
2564,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,4549
2564,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,23655
2564,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,10478
2564,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,48000
2564,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,6023
2564,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1344
2564,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,8418
2564,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,3500
2564,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,5530
2564,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,15091
2564,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,648
2564,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,5114
2564,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,1202
2564,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,7024
2564,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,21000
2564,นนทบุรี,บางกรวย,อบต.บางขนุน,5079
2564,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,54840
2564,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,11898
2564,นนทบุรี,บางใหญ่,อบต.บางใหญ่,3414
2564,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2263
2564,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,1000
2565,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,71148
2565,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,10598
2565,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,16600
2565,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,12000
2565,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,9185
2565,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,15474
2565,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,6642
2565,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,1872
2565,นนทบุรี,บางกรวย,อบต.บางขนุน,2433
2565,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,3378
2565,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,3120
2565,นนทบุรี,บางบัวทอง,อบต.ลำโพ,4990
2566,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,9892
2566,นนทบุรี,บางบัวทอง,เทศบาลนครบางบัวทอง,16600
2566,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,71148
2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,9198
2566,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,12391
2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,4360
2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,16600
2566,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,23655
2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,27019
2566,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,12500
2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,16600
2566,นนทบุรี,บางใหญ่,เทศบาลเมืองเสาธงหิน,7725
2566,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,48000
2566,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,1083
2566,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,6665
2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,1303
2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,8802
2566,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0
2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,3500
2566,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,1254
2566,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,15693
2566,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,12672
2566,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,670
2566,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,1872
2566,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,2028
2566,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,4872
2566,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,587
2566,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,1202
2566,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,5699
2566,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,16797
2566,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,1622
2566,นนทบุรี,บางกรวย,อบต.บางขนุน,3756
2566,นนทบุรี,บางกรวย,อบต.บางขุนกอง,7838
2566,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,869
2566,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,5484
2566,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,11984
2566,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,3000
2566,นนทบุรี,บางใหญ่,อบต.บางใหญ่,3174
2566,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,3378
2566,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2692
2566,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,1078
