,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะติดเชื้อ (ตัน),ขยะกำจัดถูกต้อง(ตัน)
0,2563,มกราคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,0.0
1,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,0.0
2,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0,0.0
3,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.02,0.02
4,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,2151.0,2151.0
5,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0.0,0.0
6,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,0.0
7,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0.06,0.06
8,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,0.0
9,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.03,0.03
10,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0.124,0.124
11,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0.0,0.0
12,2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,0.0
13,2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0.0,0.0
14,2563,มกราคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,0.0
15,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,0.0
16,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,3.23,3.23
17,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0,0.0
18,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1009.25,1009.25
19,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.25,0.25
20,2563,มกราคม,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,0.0
21,2563,มกราคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,0.0,0.0
22,2563,มกราคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.0,0.0
23,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0,0.0
24,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0,0.0
25,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,12.0,12.0
26,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0.0,0.0
27,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,0.0
28,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.0,0.0
29,2563,มกราคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.5,0.5
30,2563,มกราคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.0,0.0
31,2563,มกราคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,26.46,26.46
32,2563,มกราคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0.008,0.008
33,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0,0.0
34,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0.0,0.0
35,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0.0,0.0
36,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0.09,0.09
37,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.001,0.001
38,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0.0,0.0
39,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,74.236,74.236
40,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0.0,0.0
41,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,0.037,0.037
42,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0.0,0.0
43,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,0.0,0.0
44,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,0.0,0.0
45,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,0.0
46,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,0.0
47,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0,0.0
48,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.02,0.02
49,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0.0,0.0
50,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0.0,0.0
51,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,0.0
52,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0.06,0.06
53,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,0.0
54,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.03,0.03
55,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0.113,0.113
56,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0.0,0.0
57,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,0.0
58,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0.0,0.0
59,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,0.0
60,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,0.0
61,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,2.35,2.35
62,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0,0.0
63,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1009.25,1009.25
64,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.25,0.25
65,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,0.0
66,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,อบต.ละหาร,0.0,0.0
67,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.0,0.0
68,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0,0.0
69,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0,0.0
70,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,15.0,15.0
71,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0.0,0.0
72,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,0.0
73,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.0,0.0
74,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.3,0.3
75,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.0,0.0
76,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,24.822,24.822
77,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0.009,0.009
78,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0.0,0.0
79,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0.0,0.0
80,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0.0,0.0
81,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0.09,0.09
82,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.01,0.01
83,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0.0,0.0
84,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,74.044,74.044
85,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0.0,0.0
86,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,0.035,0.035
87,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0.0,0.0
88,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,0.0,0.0
89,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,0.0,0.0
90,2563,มีนาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,0.0
91,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,0.0
92,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0,0.0
93,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.02,0.02
94,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0.0,0.0
95,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0.0,0.0
96,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,0.0
97,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0.06,0.06
98,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,0.0
99,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.03,0.03
100,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0.124,0.124
101,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0.0,0.0
102,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,0.0
103,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0.0,0.0
104,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,0.0
105,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,0.0
106,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,2.35,2.35
107,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0,0.0
108,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0.0,0.0
109,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.25,0.25
110,2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,0.0
111,2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,0.0,0.0
112,2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.0,0.0
113,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0,0.0
114,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0,0.0
115,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,15.0,15.0
116,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0.0,0.0
