,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะอินทรีย์ลงถัง(ตัน)
0,2563,มกราคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,49.17
1,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,63.0
2,2563,มกราคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,120.0
3,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,400.0
4,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,261.0
5,2563,มกราคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,930.36
6,2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขนุน,176.81
7,2563,มกราคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,164.0
8,2563,มกราคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,1.8
9,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,617.74
10,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,470.67
11,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,458.63
12,2563,มกราคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,150.0
13,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,2.5
14,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.9
15,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,128.16
16,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,230.29
17,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,18.0
18,2563,มกราคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,0.15
19,2563,มกราคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,1.0
20,2563,มกราคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.35
21,2563,มกราคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,24.0
22,2563,มกราคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,236.07
23,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,1.0
24,2563,มกราคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
25,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3862.0
26,2563,มกราคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,701.88
27,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,42.6
28,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,69.0
29,2563,กุมภาพันธ์,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,96.43
30,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,389.75
31,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,254.0
32,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,847.52
33,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.บางขนุน,179.28
34,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.บางขุนกอง,120.0
35,2563,กุมภาพันธ์,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,1.85
36,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,545.13
37,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,520.36
38,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,397.78
39,2563,กุมภาพันธ์,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,110.0
40,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.5
41,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.7
42,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,119.49
43,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,230.29
44,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,18.0
45,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,2.9
46,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.3
47,2563,กุมภาพันธ์,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.34
48,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,25.0
49,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,210.8
50,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,2.0
51,2563,กุมภาพันธ์,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.02
52,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3623.0
53,2563,กุมภาพันธ์,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,618.86
54,2563,มีนาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,42.6
55,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,56.0
56,2563,มีนาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,100.0
57,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,412.8
58,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,251.0
59,2563,มีนาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,928.66
60,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,191.99
61,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,110.0
62,2563,มีนาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,1.92
63,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,596.65
64,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,462.18
65,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,458.48
66,2563,มีนาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,150.0
67,2563,มีนาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,100.0
68,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.0
69,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.65
70,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,135.14
71,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,230.29
72,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,18.0
73,2563,มีนาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,5.5
74,2563,มีนาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.3
75,2563,มีนาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.3
76,2563,มีนาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,24.0
77,2563,มีนาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,232.69
78,2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
79,2563,มีนาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0.02
80,2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3782.0
81,2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,689.72
